SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;id
0133.93.03.00004355;107.365.900;10736.74;4059
0142.93.03.00000378;43.759.100;4375.9;4062
0126.93.03.00000894;52.000.000;5200.3;4067
0153.93.03.00001249;34.684.800;2312.32;4072
0153.93.03.00001256;50.438.600;6787.89;4089
0123.93.03.00000617;216.937.400;21699.52;4102
0129.93.03.00000495;16.325.500;1638.4;4105
0141.93.03.00002487;800.000.000;40000;4108
0133.93.03.00004354;78.395.300;7864.66;4115
0124.93.03.00000486;101.998.100;12199.81;4117
0129.93.03.00000497;12.251.500;1224.66;4119
0132.93.03.00000294;83.599.400;8359.15;4121
0135.93.03.00003147;27.524.400;2874.27;4135
0126.93.03.00000904;363.998.500;36399.86;4138
0115.93.03.00000417;50.009.700;5000.98;4148
0135.93.03.00003139;11.617.900;1010.72;4152
0133.93.03.00004369;93.371.900;9335.57;4157
0133.93.03.00004367;121.354.900;11877.01;4167
0129.93.03.00000503;54.707.900;7470.79;4169
0133.93.03.00004366;73.586.700;7358.68;4171
0135.93.03.00003146;40.604.300;2060.43;4175
0129.93.03.00000501;26.861.600;2685.67;4178
0133.93.03.00004373;24.288.500;2428.36;4180
0135.93.03.00003152;45.799.200;6579.92;4182
0135.93.03.00003150;44.931.800;6493.18;4188
0129.93.03.00000502;236.936.800;28013.68;4194
0133.93.03.00004376;97.656.900;9971.74;4200
0151.93.03.00000153;177.214.100;17784.79;4211
0135.93.03.00003160;104.746.400;10289.55;4214
0133.93.03.00004390;43.684.600;4282.8;4216
0141.93.03.00002495;24.132.600;2412.77;4219
0135.93.03.00003164;44.785.600;7271.28;4221
0133.93.03.00004385;103.995.100;10441.37;4224
0133.93.03.00004379;36.390.300;3639.01;4226
0135.93.03.00003156;76.404.800;17285.76;4230
0135.81.03.00000243;17.429.100;1742.94;4234
0115.93.03.00000421;701.125.900;70110.65;4247
0131.93.03.00000966;14.990.300;3499.03;4268
0133.93.03.00004396;55.195.100;5614.43;4270
0141.93.03.00002503;23.400.000;2443.04;4275
0135.93.03.00003166;1.705.600;170.57;4280
0133.93.03.00004427;51.335.300;7133.53;4290
0135.93.03.00003179;63.430.800;72343.41;4296
0115.93.03.00000429;82.138.600;7315.95;4301
0133.93.03.00004420;54.181.300;8885.97;4303
0133.93.03.00004413;29.326.300;2008.63;4306
0135.93.03.00003188;23.187.100;2890.64;4313
0133.93.03.00004426;42.193.000;2228.07;4316
0133.93.03.00004425;69.773.700;6840.51;4318
0135.93.03.00003173;9.600.400;1032.16;4320
0135.93.03.00003187;43.888.900;3194.45;4322
0141.93.03.00002506;24.271.100;2429.11;4325
0141.93.03.00002509;32.105.300;3223.2;4329
0135.93.03.00003171;70.853.100;5085.31;4331
0141.93.03.00002508;1.000.000.000;50000;4345
0126.93.03.00000922;80.380.100;8038.98;4347
0153.93.03.00001284;31.431.600;2540.29;4369
0133.93.03.00004441;129.396.300;12939.65;4381
0135.93.03.00003232;56.276.800;2813.84;4383
0135.93.03.00003229;20.438.700;2003.79;4387
0133.93.03.00004448;93.269.000;9325.99;4389
0131.93.03.00000980;33.216.400;3321.62;4396
0133.93.03.00004444;21.637.400;4163.74;4401
0135.93.03.00003224;63.060.400;6305.93;4405
0141.93.03.00002513;2.519.970.700;32290.07;4413
0135.93.03.00003201;297.439.100;30126.8;4415
0133.93.03.00004450;22.553.600;4255.37;4417
0135.93.03.00003228;43.060.400;4729.54;4423
0135.93.03.00003227;46.491.200;2324.56;4425
0126.93.03.00000935;43.216.400;6321.64;4431
0153.93.03.00001302;77.056.500;7705.66;4433
0124.93.03.00000527;53.313.800;5331.39;4439
0133.93.03.00004443;88.752.400;10875.24;4441
0124.93.03.00000519;36.296.300;3753.09;4444
0135.93.03.00003211;246.466.500;24655.64;4447
0141.93.03.00002511;57.000.000;2850;4464
0126.93.03.00000930;132.586.000;11870.88;4467
0151.93.03.00000154;45.024.400;6502.44;4472
0129.93.03.00000522;78.586.700;5858.67;4475
0126.93.03.00000931;79.893.800;7980.38;4477
0129.81.03.00000009;21.231.500;1492.66;4479
0126.93.03.00000925;25.772.900;2577.28;4484
0141.93.03.00002526;23.400.000;1170;4489
0133.93.03.00004478;306.722.800;30675.69;4491
0141.93.03.00002532;30.000.000;1500;4494
0141.93.03.00002534;30.000.000;1500;4496
0141.93.03.00002528;61.725.100;6172.5;4500
0133.93.03.00004472;42.397.700;4239.78;4502
0141.93.03.00002529;28.000.000;700;4505
0141.93.03.00002525;74.000.000;3700;4509
0141.93.03.00002515;23.400.000;1096.88;4520
0133.93.03.00004460;54.954.000;5495.42;4527
0135.93.03.00003237;157.146.400;15359.23;4532
0135.93.03.00003238;333.830.400;33517.31;4535
0133.93.03.00004473;120.620.700;8148.39;4542
0141.93.03.00002517;23.400.000;1170;4545
0141.93.03.00002520;23.400.000;1170;4547
0133.93.03.00004464;10.939.000;1034.43;4551
0141.93.03.00002521;400.000.000;20000;4555
0126.93.03.00000940;30.594.500;8282.27;4561
0126.93.03.00000943;83.196.600;10979.5;4571
0126.93.03.00000939;20.000.000;1000;4573
0129.93.03.00000530;363.435.800;27633.8;4584
0124.93.03.00000533;49.263.100;4936.31;4590
0153.93.03.00001314;58.810.900;5881.13;4598
0133.93.03.00004498;68.616.500;6861.44;4608
0126.93.03.00000946;57.899.100;5761.11;4612
0153.93.03.00001317;78.810.900;8031.09;4616
0133.93.03.00004501;45.623.800;3801.99;4618
0141.93.03.00002546;50.000.000;4375;4620
0133.93.03.00004500;81.463.000;8772.73;4622
0133.93.03.00004505;65.498.500;6681.27;4625
0135.93.03.00003265;133.195.400;15119.54;4628
0135.93.03.00003272;129.660.600;13126.7;4630
0133.93.03.00004511;119.825.300;8151.1;4635
0133.93.03.00004509;78.804.300;7880.46;4642
0135.93.03.00003271;19.259.300;1925.44;4645
0143.93.03.00001200;29.025.300;2903.02;4647
0133.93.03.00004518;29.850.200;2538.68;4658
0126.93.03.00000952;22.095.500;2209.73;4661
0135.93.03.00003260;52.676.000;5274.64;4663
0141.93.03.00002548;5.652.100;565.3;4668
0135.93.03.00003258;103.853.400;7369.11;4674
0131.93.03.00000988;55.520.500;5603.74;4679
0131.93.03.00000991;42.573.200;4257.35;4688
0135.93.03.00003274;55.649.500;4638.72;4691
0143.93.03.00001202;166.901.600;16690.12;4704
0133.93.03.00004522;94.496.000;9731.03;4720
0129.93.03.00000543;217.547.600;43509.52;4724
0123.93.03.00000669;35.564.200;3302.39;4736
0115.93.03.00000451;18.528.300;1852.85;4757
0126.93.03.00000960;147.913.200;14790.32;4796
0115.93.03.00000452;185.422.500;20541.47;4808
0141.93.03.00002608;5.760.400;5760.44;4825
0141.93.03.00002584;600.000.000;30000;4827
0153.93.03.00001329;27.275.600;392.99;4876
0115.93.03.00000448;264.406.400;26440.61;4890
0131.93.03.00000998;43.713.500;4371.36;4905
0141.93.03.00002646;28.000.000;1400;4907
0141.93.03.00002648;23.400.000;1170;4909
0141.93.03.00002659;23.400.000;1170;4911
0142.93.03.00000406;30.139.000;1210.06;4918
0133.93.03.00004588;75.655.400;3739.77;4924
0141.93.03.00002672;800.000.000;40000;4927
0141.93.03.00002657;27.850.600;1170;4931
0115.93.03.00000456;100.000.000;8332;4934
0141.93.03.00002668;60.000.000;3000;4944
0141.93.03.00002652;209.000.000;10450;4960
0141.93.03.00002654;200.000.000;10000;4962
0141.93.03.00002656;23.400.000;1392.54;4964
0133.93.03.00004610;87.104.500;8710.18;4966
0141.93.03.00002663;11.700.000;1392.53;4969
0141.93.03.00002653;23.400.000;1221.52;4977
0141.93.03.00002649;35.100.000;1392.53;4981
0141.93.03.00002666;23.400.000;1392.53;4985
0133.93.03.00004591;24.000.000;1200;4987
0126.93.03.00000971;126.055.500;12515.5;4995
0126.93.03.00000984;75.000.000;3750;5005
0129.93.03.00000559;217.840.100;13685.92;5008
0133.93.03.00004604;56.588.700;5659.08;5014
0133.93.03.00004586;20.058.500;4011.7;5017
0126.93.03.00000983;147.560.000;6810.48;5020
0126.93.03.00000987;46.080.000;2304;5022
0143.93.03.00001220;33.539.800;3354.17;5025
0141.93.03.00002683;53.674.500;5380.12;5035
0141.93.03.00002686;165.000.000;8250;5037
0141.93.03.00002688;23.400.000;1170;5040
0141.93.03.00002680;23.400.000;1170;5044
0142.93.03.00000409;17.514.600;1758.28;5046
0133.93.03.00004619;53.391.800;5359.65;5048
0133.93.03.00004615;37.780.000;3717.97;5050
0126.93.03.00000989;974.700;97.48;5052
0141.93.03.00002679;23.400.000;1170;5068
0133.93.03.00004635;25.672.500;2566.76;5102
0141.93.03.00002736;23.400.000;1170;5117
0126.93.03.00000992;113.849.900;11427.88;5124
0135.93.03.00003367;136.330.400;11633.04;5127
